super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,type
03537,Abilene Christian University,Abilene,TX,101000.0,40100.0,5.2441354,2.3049099,27.390284,3.8079586,1.4363836,0.19969451,-1.5126641,-5.1027341,838.6666666666666,Private not-for-profit
01541,Abraham Baldwin Agricultural College,Valdosta,GA,66000.0,32500.0,15.455516,0.25202817,9.6129665,0.64402276,1.4857335,0.09953703,0.80815226,7.1439357,679.3333333333334,Public
07531,Academy Of Art University,San Francisco,CA,92300.0,27400.0,9.3524237,3.56812,17.490002,1.4551296,1.635739,0.13608989,2.8896575,7.7147851,495.6666666666667,Private for-profit
01345,Adams State University,Alamosa,CO,67200.0,34100.0,12.922439,0.31467152,14.582914,0.02400125,1.8844681,0.0031015468,0.072413616,0.70173603,393.3333333333333,Public
02666,Adelphi University,New York,NY,96300.0,50700.0,8.7048025,2.3863256,37.433441,3.0012798,3.2585073,0.26125547,-3.120115,-7.7034125,509.0,Private not-for-profit
02234,Adrian College,Jackson,MI,88500.0,40300.0,6.0760288,1.1504383,15.741579,0.069630548,0.95646286,0.0042307721,0.75230724,-1.2245364,240.3333333333333,Private not-for-profit
31275,Advanced Technology Institute,Virginia Beach,VA,57200.0,33900.0,15.953134,0.24579081,19.706888,0.04072338,3.1438663,0.0064966553,5.136167,10.330075,127.6666666666667,Private for-profit
31155,Adventist University Of Health Sciences,Orlando,FL,62900.0,39200.0,12.763434,0.058265973,29.661634,0.0598468,3.7858434,0.0076385071,-4.6064453,-6.4156098,120.5,Private not-for-profit
01542,Agnes Scott College,Atlanta,GA,97200.0,38900.0,7.2003045,1.2381607,20.477133,0.11705349,1.4744159,0.0084282076,3.3477199,3.4266524,164.0,Private not-for-profit
08878,Miami International University Of Art & Design,Miami,FL,46300.0,22900.0,24.759533,0.89318568,10.888323,0.019144058,2.6958978,0.0047399788,-3.0249093,-3.234201,202.5,Private for-profit
10056,Aiken Technical College,Aiken,SC,64100.0,25200.0,20.115341,0.15426409,8.5034866,0.0,1.7105054,0.0,-0.88902694,2.2148688,553.6666666666666,Public
01002,Alabama Agricultural & Mechanical University,Huntsville,AL,44500.0,32900.0,24.356117,0.017934356,17.323408,0.29935566,4.2193098,0.072911419,-4.8939219,0.23420663,943.6666666666666,Public
05463,Alamance Community College,Greensboro,NC,61200.0,25100.0,13.409744,0.22421418,3.3365202,0.0,0.44741881,0.0,3.5211406,5.6162162,518.3333333333334,Public
02885,Albany College Of Pharmacy And Health Sciences,Albany,NY,95800.0,115800.0,3.9403558,0.19784023,85.208885,0.25403962,3.3575335,0.010010065,-0.63604873,-3.2948301,129.0,Private not-for-profit
01544,Albany State University,Albany,GA,43800.0,31900.0,23.301081,0.094723083,11.070277,0.0,2.5794942,0.0,2.0892615,10.04005,521.0,Public
05601,Albany Technical College,Albany,GA,29200.0,15800.0,44.530651,0.059043102,3.2280397,0.23996238,1.4374671,0.10685681,-8.6926308,-8.2377319,312.5,Public
01374,Albertus Magnus College,Bridgeport,CT,68600.0,43400.0,12.973523,0.35828912,42.551868,0.029414468,5.5204768,0.0038160929,0.18003123,-2.6047432,65.66666666666667,Private not-for-profit
02235,Albion College,Kalamazoo,MI,120700.0,48900.0,2.2652307,2.9275217,30.077225,0.51234561,0.68131846,0.011605809,3.8333197,2.4440989,398.0,Private not-for-profit
03229,Albright College,Reading,PA,89000.0,47300.0,5.1434021,1.3267925,26.647335,0.082707591,1.3705796,0.004253984,2.1016729,0.23964714,314.0,Private not-for-profit
03806,Alderson Broaddus University,Elkins,WV,59500.0,37800.0,12.749578,0.030873787,21.464056,0.14075065,2.7365766,0.017945115,1.4184813,-8.2770681,126.0,Private not-for-profit
02668,Alfred University,Olean,NY,90800.0,44600.0,6.5330887,1.8995715,22.609419,0.077608839,1.4770933,0.0050702542,0.5985176,-1.9794142,454.6666666666667,Private not-for-profit
01111,Allan Hancock College,Santa Barbara,CA,65700.0,30800.0,14.08916,0.46700099,13.81499,0.040890072,1.9464159,0.0057610674,1.2314534,2.4496295,1220.0,Public
02057,Allegany College Of Maryland,Cumberland,MD,57900.0,32400.0,15.657393,0.13568601,12.547563,0.052682891,1.9646211,0.0082487669,-0.71621847,-3.5272474,562.5,Public
03230,Allegheny College,Erie,PA,102800.0,52500.0,3.7381232,2.6483722,35.939037,5.9652662,1.3434455,0.22298899,0.52408785,-0.28202888,434.5,Private not-for-profit
01901,Allen County Community College,Ottawa,KS,65000.0,29700.0,10.632456,0.21913618,10.357492,0.013875221,1.1012558,0.0014752767,1.7370515,1.9622889,420.6666666666667,Public
02790,Nyack College,Newark,NY,58400.0,31000.0,18.072001,0.48255035,20.677118,0.0,3.7367687,0.0,2.5434108,2.4319952,262.6666666666667,Private not-for-profit
02236,Alma College,Mount Pleasant,MI,98200.0,48000.0,5.0117993,1.6617837,23.263311,0.1629113,1.1659105,0.0081647877,-2.2040975,-1.9522082,266.5,Private not-for-profit
02237,Alpena Community College,Alpena,MI,60600.0,32500.0,15.903666,0.22387351,9.6057673,0.046377238,1.5276693,0.0073756813,3.3668582,10.59343,298.5,Public
03233,Alvernia University,Reading,PA,84300.0,41800.0,6.6485949,0.82580233,32.86742,2.3096087,2.1852217,0.15355653,-2.1128783,-8.1572409,210.3333333333333,Private not-for-profit
03832,Alverno College,Milwaukee,WI,65600.0,33200.0,15.033281,0.51247829,17.699276,1.4151361,2.6607819,0.21274139,-1.4751152,-5.3280029,161.0,Private not-for-profit
03539,Alvin Community College,Pearland,TX,84500.0,36600.0,9.23034,0.274019,19.21438,0.0,1.7735527,0.0,0.16103901,1.0563546,675.3333333333334,Public
03540,Amarillo College,Amarillo,TX,58500.0,31000.0,16.241901,0.30104512,12.019881,0.27505016,1.9522574,0.044673376,0.58029652,2.3999026,1471.666666666667,Public
22418,"American Career College of Los Angeles, CA",Los Angeles,CA,30400.0,25700.0,41.461433,0.31046158,4.7621169,0.012597496,1.9744419,0.0052231024,-17.572439,-16.825563,489.5,Private for-profit
21136,American Intercontinental University,Chicago,IL,44700.0,22100.0,26.033289,0.48899433,10.127345,0.27569863,2.636481,0.071773425,1.2350045,6.726212,1596.166666666667,Private for-profit
02114,American International College,Springfield,MA,68700.0,41900.0,14.55442,0.58969349,18.479864,0.0,2.6896369,0.0,-4.3637896,-6.8539448,172.3333333333333,Private not-for-profit
07572,American Musical & Dramatic Academy,New York,NY,88800.0,26000.0,6.8494349,1.0904926,10.258131,0.1176759,0.70262402,0.008060134,10.776264,11.207361,270.5,Private not-for-profit
03726,American National University,Roanoke,VA,38300.0,17800.0,29.305914,0.06759502,3.3071225,0.0,0.96918243,0.0,5.3261962,7.7214608,377.6666666666667,Private for-profit
10489,National College,Lexington-Fayette,KY,39100.0,15500.0,30.423603,0.051750198,2.3040819,0.045242928,0.70098478,0.013764529,8.4739714,8.3769951,242.6666666666667,Private for-profit
01434,American University ,Washington DC,DC,135700.0,59100.0,3.5309114,8.7893448,36.376553,5.2479854,1.2844238,0.18530171,0.14043246,-2.9255445,1103.0,Private not-for-profit
02115,Amherst College,Springfield,MA,181300.0,69300.0,4.2215958,16.812452,46.467812,6.3783927,1.9616832,0.26926997,0.34237915,3.0814116,389.6666666666667,Private not-for-profit
01785,"Anderson University of Anderson, IN",Muncie,IN,88400.0,34900.0,5.271863,1.5878981,13.535394,0.0,0.71356744,0.0,-2.5525751,-3.1808813,448.6666666666667,Private not-for-profit
03418,"Anderson University of Anderson, SC",Greenville,SC,75900.0,32600.0,8.5361471,0.45231065,14.020874,1.7606564,1.1968424,0.15029223,-3.0690866,-8.4886122,216.0,Private not-for-profit
02238,Andrews University,South Bend,MI,73900.0,37200.0,9.3424969,1.7232015,25.738012,0.12347466,2.404573,0.011535617,-3.0300834,-13.518781,262.6666666666667,Private not-for-profit
06661,Angelina College,Huntsville,TX,45900.0,25100.0,26.211666,0.073561318,8.7828455,0.58606887,2.3021302,0.15361843,-7.2060766,-5.1113329,871.6666666666666,Public
03541,Angelo State University,San Angelo,TX,68400.0,38500.0,11.666122,0.3909629,18.082207,0.023366926,2.1094923,0.0027260142,-2.0008759,-3.3578742,1090.0,Public
02117,Anna Maria College,Boston,MA,90400.0,40700.0,5.0080614,1.1772707,33.853336,0.0,1.6953959,0.0,3.8445156,5.3268628,122.0,Private not-for-profit
02058,Anne Arundel Community College,Baltimore,MD,91100.0,36000.0,6.2969222,0.66581202,19.617638,0.23876818,1.2353073,0.015035046,0.47929037,0.45571002,2218.666666666667,Public
01113,Antelope Valley College,Los Angeles,CA,66600.0,25700.0,16.401859,0.15970431,11.755011,0.025722602,1.9280404,0.0042189853,5.5140743,7.6606855,1904.666666666667,Public
02906,Appalachian State University,Boone,NC,105900.0,39100.0,3.5452352,2.2165754,15.233072,0.71429074,0.54004824,0.025323287,-0.24935301,-1.6063297,2427.333333333334,Public
02239,Aquinas College,Grand Rapids,MI,94800.0,39300.0,3.4027312,2.4719775,17.16297,0.0,0.58400971,0.0,2.0296595,4.2799358,291.3333333333333,Private not-for-profit
01346,Arapahoe Community College,Denver,CO,93800.0,31700.0,5.7288365,0.94298261,16.512363,0.087975465,0.94596642,0.0050399709,1.422999,1.5869896,1073.0,Public
03235,Arcadia University,Philadelphia,PA,92200.0,44900.0,5.7861662,2.883395,33.356514,3.733346,1.9300634,0.21601759,-0.56534272,-3.7019711,309.0,Private not-for-profit
01071,Arizona Western College,Yuma,AZ,38600.0,28000.0,27.479176,0.099557206,8.9150238,0.011258878,2.449775,0.0030938466,-6.9595771,-6.7459898,765.6666666666666,Public
12860,Arkansas Northeastern College,Blytheville,AR,37100.0,23400.0,30.77692,0.20554405,5.8292861,0.0,1.7940749,0.0,-3.4718711,-1.5647086,304.6666666666667,Public
01090,Arkansas State University,Jonesboro,AR,60800.0,34500.0,15.929386,0.39503244,14.797317,0.43308505,2.3571217,0.068987787,2.0758381,3.5325949,1956.666666666667,Public
23482,Mid-South Community College,West Memphis,AR,38000.0,20000.0,30.698633,0.028735489,2.3322148,0.0038014925,0.71595812,0.0011670062,0.12544215,4.7696352,189.3333333333333,Public
09976,College Of The Ouachitas,Hot Springs,AR,53000.0,24100.0,16.971281,0.18186976,2.8080482,0.0,0.47656175,0.0,2.3471873,5.6305418,135.3333333333333,Public
01091,Arkansas State University - Beebe,Searcy,AR,63100.0,29500.0,13.748596,0.25216952,11.365198,0.3781302,1.5625553,0.051987596,3.6779709,2.1997311,644.6666666666666,Public
01089,Arkansas Tech University,Russellville,AR,63200.0,35100.0,13.475392,0.41111043,15.711419,1.0205972,2.1171753,0.13752948,1.0841078,-0.063226201,951.0,Public
01116,Art Center College Of Design,Los Angeles,CA,84800.0,42800.0,14.908856,1.90461,30.677685,2.0532672,4.5736918,0.30611867,-6.8695941,-1.4835708,109.5,Private not-for-profit
01952,Asbury College,Lexington-Fayette,KY,91700.0,33800.0,3.4568813,1.6013799,22.743698,0.0,0.78622264,0.0,2.8823009,1.8730357,265.0,Private not-for-profit
04033,Asheville Buncombe Technical Community College,Asheville,NC,62200.0,25000.0,13.436407,0.32896161,5.638268,0.35325506,0.75758064,0.047464788,0.97140074,1.2247398,744.0,Public
03012,Ashland University,Mansfield,OH,84600.0,39200.0,4.884933,1.1585776,11.541358,1.3909264,0.56378758,0.067945823,-0.28037876,-3.0362945,461.3333333333333,Private not-for-profit
07635,Capital Community College,Bridgeport,CT,46200.0,28900.0,24.232807,0.052339897,10.522533,0.031442948,2.5499053,0.0076195085,3.555707,7.5980892,312.3333333333333,Public
02118,Assumption College,Boston,MA,120100.0,57500.0,2.0878508,2.0419598,42.539482,0.55075616,0.88816088,0.011498967,0.071015738,0.60667646,476.6666666666667,Private not-for-profit
05600,Athens Technical College,Winder,GA,57200.0,25300.0,18.232771,0.3524217,5.5077486,0.31551385,1.0042151,0.057526916,5.0799937,9.0539551,600.0,Public
12165,Atlanta Metropolitan  State College,Atlanta,GA,38900.0,23800.0,25.633018,0.24765515,5.3459821,0.0076025436,1.3703365,0.0019487614,6.7109079,12.425539,331.3333333333333,Public
08543,Atlanta Technical College,Atlanta,GA,32000.0,18000.0,35.970024,0.059078559,4.0012307,0.021766521,1.4392437,0.0078294221,-1.5207584,0.065901674,311.0,Public
02596,Atlantic Cape Community College,Philadelphia,NJ,60000.0,26500.0,14.717254,0.24944849,9.5143614,0.0,1.4002528,0.0,-1.4617299,-1.2507844,937.0,Public
01009,Auburn University,Auburn,AL,123200.0,47300.0,3.3321195,4.8533926,31.986362,2.6494653,1.0658238,0.088283353,-0.31903499,-1.7636118,3839.0,Public
08310,Auburn University Montgomery,Montgomery,AL,73600.0,35400.0,13.526307,0.41197911,18.042749,0.7342118,2.4405177,0.099311747,-0.66682065,3.5111387,668.3333333333334,Public
02334,Augsburg College,Minneapolis,MN,99100.0,49000.0,4.0241985,4.1573129,32.132877,2.6366134,1.2930907,0.10610256,8.8755627,14.329741,321.0,Private not-for-profit
05599,Augusta Technical College,Aiken,GA,46700.0,22800.0,26.411942,0.12600623,2.9946449,0.014965177,0.79094386,0.0039525935,2.1834323,9.0127726,614.0,Public
01633,"Augustana College of Rock Island, IL",Davenport,IL,114300.0,53700.0,2.1307478,2.5780027,46.92524,2.4691527,0.9998585,0.052611414,0.0093057705,-1.1346431,541.3333333333334,Private not-for-profit
03458,"Augustana College of Sioux Falls, SD",Sioux Falls,SD,93200.0,44200.0,2.7987962,2.2330654,15.88113,0.044297688,0.44448045,0.0012398019,0.40200061,-5.0306807,392.0,Private not-for-profit
01634,Aurora University,Chicago,IL,87100.0,43500.0,7.3590221,1.0353565,15.014251,0.0092672799,1.104902,0.00068198115,-2.0613141,-7.3826833,185.6666666666667,Private not-for-profit
03543,Austin College,Sherman,TX,109300.0,49700.0,5.7600904,3.3268225,39.560169,1.9099586,2.2787015,0.11001534,-1.2608985,-2.7370174,299.3333333333333,Private not-for-profit
12015,Austin Community College,Austin,TX,77100.0,32100.0,10.691411,1.2661422,14.101166,0.14522208,1.5076135,0.01552629,1.9740846,3.7354226,4347.333333333333,Public
03478,Austin Peay State University,Clarksville,TN,66600.0,33500.0,11.998721,0.26745024,11.463448,0.52774727,1.3754672,0.063322924,-2.2594235,-5.4512072,1065.666666666667,Public
11621,Automotive Training Center,Philadelphia,PA,74600.0,39900.0,8.7445765,0.10598424,15.68712,0.68166739,1.3717722,0.059608929,3.5998621,7.9403834,144.3333333333333,Private for-profit
26009,Aveda Institute Covington,New Orleans,LA,63000.0,16200.0,14.94955,0.10685164,0.43150583,0.036989998,0.064508177,0.0055298381,-1.8878573,1.7907271,61.0,Private for-profit
23269,Sunstate Academy,Cape Coral,FL,49200.0,17000.0,21.827776,0.0875246,0.0,0.0,0.0,0.0,2.3481851,4.3749819,63.33333333333334,Private for-profit
03702,Averett University,Greensboro,VA,65400.0,35500.0,8.1789627,0.74080217,7.1058407,0.054642603,0.58118409,0.0044691982,6.8666034,7.7244835,126.3333333333333,Private not-for-profit
02449,Avila University,Kansas City,MO,88200.0,44800.0,6.5208554,1.6284374,8.0605049,0.19433059,0.52561384,0.012672017,-0.1341999,-6.425313,109.5,Private not-for-profit
